# Result of Exception Analysis....

1A	[signaler] NoSuchElementException	org.argouml.util.SingleElementIterator	next(		[handler] Throwable	org.argouml.cognitive.Designer	run(	
2A	[signaler] NoSuchElementException	org.argouml.util.MyTokenizer	nextToken(		[handler] Throwable	org.argouml.language.java.generator.GeneratorJava	generate(java.util.Collection,boolean)	
2B	[signaler] NoSuchElementException	org.argouml.util.MyTokenizer	nextToken(		[handler] Throwable	org.argouml.language.java.generator.GeneratorJava	generateFileList(java.util.Collection,boolean)	
3A	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Throwable	org.argouml.application.Main	main(String[])	
3B	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Throwable	org.argouml.profile.internal.ProfileManagerImpl	loadDefaultProfilesfromConfiguration(	
3C	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
3D	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
3E	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
3F	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
3G	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
3H	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
3I	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
