# Result of Exception Analysis....

1A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
2A	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	deleteImage(String,String)	
2B	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageFromRecordStore(String,String)	
3A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
3B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
3C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
3D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
4A	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
4B	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
4C	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
4D	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
