# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.PhotoListController	showImageList(String,boolean,boolean)	
2A	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	deleteImage(String,String)	
2B	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageFromRecordStore(String,String)	
2C	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
3A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
4A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetImageData(	
4B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
4C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
4D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
5A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageBytesFromRMS(String,String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	showImage(String)	
6A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	updateImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData,lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	updateImage(lancs.mobilemedia.core.ui.datamodel.ImageData)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
