# Result of Exception Analysis....

1A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] Exception	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)	
2A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
2B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
2C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
2D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
2E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
2F	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
2G	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
2H	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] Throwable	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(lancs.mobilemedia.core.ui.datamodel.MediaData,String)	
3A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	createNewAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
4A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	playMultiMedia(String)	
