# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.MediaListController	showMediaList(String,boolean,boolean)	
2A	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
2B	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
2C	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
2D	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
3A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
3B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
3C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetMediaData(	
3D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
4A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)	
5A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
6A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaBytesFromRMS(String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	showImage(String)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	createNewAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	deleteAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	deleteSingleMediaFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
10A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	showImage(String)	
10B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
10C	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
11A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
11B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
11C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
11D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
11E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
12A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
12B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
12C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
12D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
13A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	createNewAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
14A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)	


# Errors found on analysis....

