# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.PhotoListController	showImageList(String,boolean,boolean)	
2A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.ImageUtil	getImageInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
3A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetImageData(	
3B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
3C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
3D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
4A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageBytesFromRMS(String,String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	showImage(String)	
5A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	updateImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData,lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
6A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deletePhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deleteSingleImageFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
10A	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	deleteImage(String,String)	
10B	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageFromRecordStore(String,String)	
10C	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
11A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
11B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
11C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
11D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
11E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
12A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
12B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	showImage(String)	
12C	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
13A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
14A	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
14B	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14C	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14D	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
15A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
15B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	


# Errors found on analysis....

