# Result of Exception Analysis....

1A	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	getSupportedDecisions(	CognitiveSuport	[handler] Throwable	org.argouml.cognitive.Designer	run(	
2A	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
2B	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
2C	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
3A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
3B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
3C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
3D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
3E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
3F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
3G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
3H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
3I	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
4A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
4B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
4C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
4D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
4E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
4F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
4G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
4H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
4I	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
5A	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
5B	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
5C	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
5D	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
5E	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
5F	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
5G	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
5H	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
5I	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
6A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
6B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
6C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
6D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
6E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
6F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
6G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
6H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
6I	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setRoot(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
7A	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	ToDoItem(org.argouml.cognitive.critics.Critic,java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
7B	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	ToDoItem(org.argouml.cognitive.critics.Critic,java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
7C	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	ToDoItem(org.argouml.cognitive.critics.Critic,java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
8A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
8B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
