# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.PhotoListController	showImageList(String,boolean,boolean)	
2A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetImageData(	
2B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
2C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
2D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
3A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageBytesFromRMS(String,String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	showImage(String)	
4A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	updateImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData,lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	updateImage(lancs.mobilemedia.core.ui.datamodel.ImageData)	
5A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
6A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deletePhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deleteSingleImageFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
9A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
9B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
9C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
9D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
10A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.ImageUtil	getImageInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
11A	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	deleteImage(String,String)	
11B	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageFromRecordStore(String,String)	
11C	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
12A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
13A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
13B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	showImage(String)	
13C	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
14A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
14B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
14E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	updateImage(lancs.mobilemedia.core.ui.datamodel.ImageData)	
15A	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
15B	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15C	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15D	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	


# Errors found on analysis....

