# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.BaseController	showImageList(String,boolean,boolean)	
2A	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	deleteImage(String,String)	
2B	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageFromRecordStore(String,String)	
2C	[signaler] NullAlbumDataReference	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] NullAlbumDataReference	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
3A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
3B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.BaseController	showImage(String)	
3C	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
4A	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
4B	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
4C	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
4D	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
5A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
